id,title,value_amount,value_currency,main_ocid,main_id,contractPeriod_startDate,contractPeriod_endDate
20250205150259-34156,SUPPLY AND DELIVERY OF SEWING MACHINES ,125000,KES,ocds-5whusi-001,ocds-5whusi-001-2024-04-11T15:23:50+03:00,,
20240304115311-74742,Provision of return Air Tickets for PCS and delegation to Mombasa to accompany their Majesties King Charles III and Camilla 1st-5th November 23,360550,KES,ocds-5whusi-002/11/2023,ocds-5whusi-002/11/2023-2024-03-04T11:45:44+03:00,2023-11-01T00:00:00+03:00,
20240521115322-83963,Provision of Return Air tickets to Eldoret to officer on official assignment with PCS,39320,KES,ocds-5whusi-003/02/2024,ocds-5whusi-003/02/2024-2024-05-21T11:43:35+03:00,2024-02-22T00:00:00+03:00,2024-03-22T00:00:00+03:00
20240305103958-74843,Provision of Return Air Ticket to COS while on Official duty in Vihiga County in 18th-20th Aug 2023,55950,KES,ocds-5whusi-004/08/2023,ocds-5whusi-004/08/2023-2024-03-05T10:33:59+03:00,2023-08-15T00:00:00+03:00,
20240305111012-74857,Provision of Return Air Ticket for COS-Business Class to Seoul-South Korea ,1599900,KES,ocds-5whusi-005/11/2023,ocds-5whusi-005/11/2023-2024-03-05T11:05:13+03:00,2023-11-15T00:00:00+03:00,
20240417152217-80429,Provision of Return Air Ticket to COS while on Official duty in Vihiga County in 18th-20th Aug 2023,43850,KES,ocds-5whusi-008/08/2023,ocds-5whusi-008/08/2023-2024-03-28T09:51:49+03:00,,
20240417164058-80463,Provision of return Air Tickets Business class for PCS and Delegation to United Kingdom on 8-14/9/23,7220000,KES,ocds-5whusi-010/09/2023B,ocds-5whusi-010/09/2023B-2024-04-17T16:35:44+03:00,2023-09-17T00:00:00+03:00,
20240306120242-75049,PRINTING PACKAGING AND DISTRIBUTION OF TEXTBOOKS FOR SECONDARY SCHOOLS,202966632,KES,ocds-5whusi-015/ADM/2023-2024,ocds-5whusi-015/ADM/2023-2024-2024-02-26T10:20:39+03:00,2023-11-06T00:00:00+03:00,2025-11-05T00:00:00+03:00
20240306125907-75073,PRINTING PACKAGING AND DISTRIBUTION OF TEXTBOOKS FOR SECONDARY SCHOOLS,522400873,KES,ocds-5whusi-015/ADM/2023-2024,ocds-5whusi-015/ADM/2023-2024-2024-02-26T10:20:39+03:00,2023-11-06T00:00:00+03:00,2025-11-05T00:00:00+03:00
20240306130347-75077,PRINTING PACKAGING AND DISTRIBUTION OF TEXTBOOKS FOR SECONDARY SCHOOLS,260515600,KES,ocds-5whusi-015/ADM/2023-2024,ocds-5whusi-015/ADM/2023-2024-2024-02-26T10:20:39+03:00,2023-11-06T00:00:00+03:00,2025-11-05T00:00:00+03:00
20240306130800-75081,PRINTING PACKAGING AND DISTRIBUTION OF TEXTBOOKS FOR SECONDARY SCHOOLS,326171230,KES,ocds-5whusi-015/ADM/2023-2024,ocds-5whusi-015/ADM/2023-2024-2024-02-26T10:20:39+03:00,2023-11-06T00:00:00+03:00,2025-11-05T00:00:00+03:00
20240416161145-80267,Provision of interior designing services for CBK Pension Secretariat  offices at CBK Pension Towers,1508000,KES,ocds-5whusi-08032022,ocds-5whusi-08032022-2024-04-16T12:36:11+03:00,2022-04-19T00:00:00+03:00,2024-03-18T00:00:00+03:00
20241205165416-109708,Supply of Assorted Printer Spares,190578,KES,ocds-5whusi-10014834,ocds-5whusi-10014834-2024-08-31T09:19:36+03:00,2022-07-19T00:00:00+03:00,2022-07-26T00:00:00+03:00
20250529175202-126340,Supply of Assorted Printed Books,31500.03,KES,ocds-5whusi-10015758A,ocds-5whusi-10015758A-2024-11-17T17:08:54+03:00,2024-10-15T00:00:00+03:00,2024-10-29T00:00:00+03:00
20240201130202-71339,Supply of Assorted Bearings,20880,KES,ocds-5whusi-10016700,ocds-5whusi-10016700-2024-02-01T08:40:53+03:00,2024-01-15T00:00:00+03:00,2024-01-17T00:00:00+03:00
20240201130332-71340,Supply of Assorted Bearings,156108.16,KES,ocds-5whusi-10016700,ocds-5whusi-10016700-2024-02-01T08:40:53+03:00,2024-01-15T00:00:00+03:00,2024-01-30T00:00:00+03:00
