id,name,main_ocid,main_id,awards_id
88267,MUTINDWA UNIFORMS AND TEXTILES,ocds-5whusi-001,ocds-5whusi-001-2024-04-11T15:23:50+03:00,20250205150259-34156
284309,THORAYA AGENCIES LIMITED,ocds-5whusi-002/11/2023,ocds-5whusi-002/11/2023-2024-03-04T11:45:44+03:00,20240304115311-74742
212721,ATTIC TOURS AND TRAVEL,ocds-5whusi-003/02/2024,ocds-5whusi-003/02/2024-2024-05-21T11:43:35+03:00,20240521115322-83963
221200,SILVER AFRICA TOURS & SAFARIS LIMITED,ocds-5whusi-004/08/2023,ocds-5whusi-004/08/2023-2024-03-05T10:33:59+03:00,20240305103958-74843
284309,THORAYA AGENCIES LIMITED,ocds-5whusi-005/11/2023,ocds-5whusi-005/11/2023-2024-03-05T11:05:13+03:00,20240305111012-74857
321005,Design Forty Limited,ocds-5whusi-08032022,ocds-5whusi-08032022-2024-04-16T12:36:11+03:00,20240416161145-80267
452512,Network Four Limited,ocds-5whusi-10014834,ocds-5whusi-10014834-2024-08-31T09:19:36+03:00,20241205165416-109708
544007,Columbus Printing Industries,ocds-5whusi-10015758A,ocds-5whusi-10015758A-2024-11-17T17:08:54+03:00,20250529175202-126340
266527,PEKARI BEARING,ocds-5whusi-10016700,ocds-5whusi-10016700-2024-02-01T08:40:53+03:00,20240201130202-71339
265783,Burch Resort,ocds-5whusi-10016700,ocds-5whusi-10016700-2024-02-01T08:40:53+03:00,20240201130332-71340
453416,Eurotech Industrial Supplies Limited,ocds-5whusi-10016988,ocds-5whusi-10016988-2024-10-02T08:50:24+03:00,20241207121240-109868
453415,General Auto Hardware Limited,ocds-5whusi-10016988,ocds-5whusi-10016988-2024-10-02T08:50:24+03:00,20241207121425-109869
450725,Hampitech Africa Limited,ocds-5whusi-10017043,ocds-5whusi-10017043-2024-10-01T10:22:24+03:00,20241201164137-109209
450679,General Auto Hardware Limited,ocds-5whusi-10017043,ocds-5whusi-10017043-2024-10-01T10:22:24+03:00,20241201165314-109213
450701,Thames Electricals,ocds-5whusi-10017049,ocds-5whusi-10017049-2024-10-01T08:35:00+03:00,20241130143656-109195
405801,Bill Ryan Enterprises Limited,ocds-5whusi-10017112,ocds-5whusi-10017112-2024-08-15T08:35:18+03:00,20240815185432-100110
469758,Kemluk Commercial Agencies Limited,ocds-5whusi-10017265B,ocds-5whusi-10017265B-2024-12-12T11:30:50+03:00,20250116191644-113132
469761,Reydem Company Limited,ocds-5whusi-10017265B,ocds-5whusi-10017265B-2024-12-12T11:30:50+03:00,20250116191806-113133
410243,Pyrex East Africa Limited,ocds-5whusi-10017293,ocds-5whusi-10017293-2024-08-02T11:47:15+03:00,20240902112726-100996
220610,Reddson Suppliers,ocds-5whusi-10017318,ocds-5whusi-10017318-2024-01-24T09:34:33+03:00,20240201172250-71378
413531,Strechcom Ventures Agencies Limited,ocds-5whusi-10017400/17409,ocds-5whusi-10017400/17409-2024-08-31T10:21:49+03:00,20240909152801-101751
413532,Netline Technologies Limited,ocds-5whusi-10017400/17409,ocds-5whusi-10017400/17409-2024-08-31T10:21:49+03:00,20240909152934-101752
413533,Kubtech Engineering Services Limited,ocds-5whusi-10017400/17409,ocds-5whusi-10017400/17409-2024-08-31T10:21:49+03:00,20241202165719-109324
413534,Kads Controls Limited,ocds-5whusi-10017400/17409,ocds-5whusi-10017400/17409-2024-08-31T10:21:49+03:00,20241202165959-109325
212676,Gorgan Enterprises,ocds-5whusi-10017429,ocds-5whusi-10017429-2024-01-29T18:32:52+03:00,20240201181522-71382
212676,Gorgan Enterprises,ocds-5whusi-10017495A,ocds-5whusi-10017495A-2024-03-26T08:18:21+03:00,20240326094210-77836
216505,Utopia Medical Supplies Limited,ocds-5whusi-10017495A,ocds-5whusi-10017495A-2024-03-26T08:18:21+03:00,20240326094418-77837
215723,Hemaru Enterprises,ocds-5whusi-10017508,ocds-5whusi-10017508-2024-05-26T11:27:54+03:00,20240530184448-85473
221691,Arctic  Horizon Kenya Limited,ocds-5whusi-10017530,ocds-5whusi-10017530-2024-01-14T16:41:51+03:00,20240114233546-69748
194333,Hampitech Africa Limited,ocds-5whusi-10017530,ocds-5whusi-10017530-2024-01-14T16:41:51+03:00,20240114233804-69749
447592,DAKWA AGENCIES,ocds-5whusi-10017530,ocds-5whusi-10017530-2024-01-14T16:41:51+03:00,20240114233952-69750
199366,Komu General Enterprises,ocds-5whusi-10017546,ocds-5whusi-10017546-2024-03-26T11:40:05+03:00,20240326132538-77925
407792,Eurotech Industrial Supplies Limited,ocds-5whusi-10017567/17947/17244,ocds-5whusi-10017567/17947/17244-2024-08-21T08:00:32+03:00,20240824171504-100522
407793,Reydem Company Limited,ocds-5whusi-10017567/17947/17244,ocds-5whusi-10017567/17947/17244-2024-08-21T08:00:32+03:00,20240824171650-100523
194333,Hampitech Africa Limited,ocds-5whusi-10017592,ocds-5whusi-10017592-2024-02-06T10:53:48+03:00,20240206152005-71766
221691,Arctic  Horizon Kenya Limited,ocds-5whusi-10017592,ocds-5whusi-10017592-2024-02-06T10:53:48+03:00,20240206152656-71767
447592,DAKWA AGENCIES,ocds-5whusi-10017592,ocds-5whusi-10017592-2024-02-06T10:53:48+03:00,20240206152943-71770
447592,DAKWA AGENCIES,ocds-5whusi-10017592,ocds-5whusi-10017592-2024-02-06T10:53:48+03:00,20240206153103-71771
238404,M/S.ABIOT GENERAL SUPPLIES,ocds-5whusi-10017592,ocds-5whusi-10017592-2024-02-06T10:53:48+03:00,20240206154612-71775
215901,Thames Electrical Limited,ocds-5whusi-10017623,ocds-5whusi-10017623-2024-05-17T15:44:53+03:00,20240517155453-83641
194333,Hampitech Africa Limited,ocds-5whusi-10017623,ocds-5whusi-10017623-2024-05-17T15:44:53+03:00,20240517155614-83643
194333,Hampitech Africa Limited,ocds-5whusi-10017631,ocds-5whusi-10017631-2024-02-14T12:11:47+03:00,20240215095703-72665
447592,DAKWA AGENCIES,ocds-5whusi-10017631,ocds-5whusi-10017631-2024-02-14T12:11:47+03:00,20240215095827-72666
465381,Veteran Pharmaceutical,ocds-5whusi-10017647,ocds-5whusi-10017647-2024-02-27T12:55:16+03:00,20240227164333-74110
222220,Villa Surgical & Equipment Ltd,ocds-5whusi-10017647,ocds-5whusi-10017647-2024-02-27T12:55:16+03:00,20240227164547-74111
266527,PEKARI BEARING,ocds-5whusi-10017659,ocds-5whusi-10017659-2024-02-29T10:50:35+03:00,20240229180629-74438
408373,NETLINE TECHNOLOGIES LTD,ocds-5whusi-10017674,ocds-5whusi-10017674-2024-06-03T16:48:36+03:00,20240604164158-86097
215723,Hemaru Enterprises,ocds-5whusi-10017693,ocds-5whusi-10017693-2024-06-11T12:52:28+03:00,20240614181121-88097
213954,Labrana Enterprises Limited,ocds-5whusi-10017693,ocds-5whusi-10017693-2024-06-11T12:52:28+03:00,20240614181251-88099
216505,Utopia Medical Supplies Limited,ocds-5whusi-10017762,ocds-5whusi-10017762-2024-03-14T09:07:12+03:00,20240315140009-76189
218439,Logisys Trading Company Limited,ocds-5whusi-10017767,ocds-5whusi-10017767-2024-05-16T12:31:51+03:00,20240516185800-83535
453404,Eurotech Industrial Supplies Limited,ocds-5whusi-10017774,ocds-5whusi-10017774-2024-09-07T10:27:16+03:00,20241207114252-109863
215901,Thames Electrical Limited,ocds-5whusi-10017786,ocds-5whusi-10017786-2024-03-05T17:33:16+03:00,20240305175727-74956
499131,Komu General Enterprises,ocds-5whusi-10017807,ocds-5whusi-10017807-2024-11-18T17:24:50+03:00,20250308123412-117689
408754,Manik Das  Sugar Mill Consultancy Services,ocds-5whusi-10017821,ocds-5whusi-10017821-2024-07-29T15:56:54+03:00,20240828092833-100711
499123,Oriental General Stores Limited,ocds-5whusi-10017825,ocds-5whusi-10017825-2024-09-07T12:26:27+03:00,20250308115932-117685
499124,Eurotech Industrial Supplies Limited,ocds-5whusi-10017825,ocds-5whusi-10017825-2024-09-07T12:26:27+03:00,20250308120139-117686
216805,Wafalme Agrovet,ocds-5whusi-10017841,ocds-5whusi-10017841-2024-07-10T17:28:47+03:00,20240713142435-94017
408197,Pekari Bearings Limited,ocds-5whusi-10017850,ocds-5whusi-10017850-2024-08-02T08:55:32+03:00,20240826181400-100630
408198,Sucrotech (K) Limited,ocds-5whusi-10017850,ocds-5whusi-10017850-2024-08-02T08:55:32+03:00,20240826182426-100631
408199,Eurotech Industrial Supplies Limited,ocds-5whusi-10017850,ocds-5whusi-10017850-2024-08-02T08:55:32+03:00,20240826182757-100632
