id,title,dateSigned,awardID,value_amount,value_currency,period_startDate,main_ocid,main_id,period_endDate,status
20250205150259-34156-078,SUPPLY AND DELIVERY OF SEWING MACHINES ,2022-10-05T00:00:00+03:00,20250205150259-34156,125000,KES,2022-10-05T00:00:00+03:00,ocds-5whusi-001,ocds-5whusi-001-2024-04-11T15:23:50+03:00,,
20240304115311-74742-002/11/2023,Provision of return Air Tickets for PCS and delegation to Mombasa to accompany their Majesties King Charles III and Camilla 1st-5th November 23,2023-11-01T00:00:00+03:00,20240304115311-74742,360550,KES,2023-11-01T00:00:00+03:00,ocds-5whusi-002/11/2023,ocds-5whusi-002/11/2023-2024-03-04T11:45:44+03:00,,
20240521115322-83963-003/02/2024,Provision of Return Air tickets to Eldoret to officer on official assignment with PCS,,20240521115322-83963,39320,KES,2024-02-22T00:00:00+03:00,ocds-5whusi-003/02/2024,ocds-5whusi-003/02/2024-2024-05-21T11:43:35+03:00,2024-03-22T00:00:00+03:00,
20240305103958-74843-004/08/2023,Provision of Return Air Ticket to COS while on Official duty in Vihiga County in 18th-20th Aug 2023,2023-08-15T00:00:00+03:00,20240305103958-74843,55950,KES,2023-08-15T00:00:00+03:00,ocds-5whusi-004/08/2023,ocds-5whusi-004/08/2023-2024-03-05T10:33:59+03:00,,
20240305111012-74857-005/11/2023,Provision of Return Air Ticket for COS-Business Class to Seoul-South Korea ,2023-11-15T00:00:00+03:00,20240305111012-74857,1599900,KES,2023-11-15T00:00:00+03:00,ocds-5whusi-005/11/2023,ocds-5whusi-005/11/2023-2024-03-05T11:05:13+03:00,,
20240417152217-80429-008/08/2023,Provision of Return Air Ticket to COS while on Official duty in Vihiga County in 18th-20th Aug 2023,,20240417152217-80429,43850,KES,,ocds-5whusi-008/08/2023,ocds-5whusi-008/08/2023-2024-03-28T09:51:49+03:00,,
20240417164058-80463-010/09/2023 B,Provision of return Air Tickets Business class for PCS and Delegation to United Kingdom on 8-14/9/23,2023-09-17T00:00:00+03:00,20240417164058-80463,7220000,KES,2023-09-17T00:00:00+03:00,ocds-5whusi-010/09/2023B,ocds-5whusi-010/09/2023B-2024-04-17T16:35:44+03:00,,
20240306120242-75049-KICD/EAEP/SECONDARY/09/2023,PRINTING PACKAGING AND DISTRIBUTION OF TEXTBOOKS FOR SECONDARY SCHOOLS,2023-11-06T00:00:00+03:00,20240306120242-75049,202966632,KES,2023-11-06T00:00:00+03:00,ocds-5whusi-015/ADM/2023-2024,ocds-5whusi-015/ADM/2023-2024-2024-02-26T10:20:39+03:00,2025-11-05T00:00:00+03:00,
20240306125907-75073-KICD/MORAN/SECONDARY/07/2023,PRINTING PACKAGING AND DISTRIBUTION OF TEXTBOOKS FOR SECONDARY SCHOOLS,2023-11-06T00:00:00+03:00,20240306125907-75073,522400873,KES,2023-11-06T00:00:00+03:00,ocds-5whusi-015/ADM/2023-2024,ocds-5whusi-015/ADM/2023-2024-2024-02-26T10:20:39+03:00,2025-11-05T00:00:00+03:00,
20240306130347-75077-KICD/LONGHORN/SECONDARY/05/2023,PRINTING PACKAGING AND DISTRIBUTION OF TEXTBOOKS FOR SECONDARY SCHOOLS,2023-11-06T00:00:00+03:00,20240306130347-75077,260515600,KES,2023-11-06T00:00:00+03:00,ocds-5whusi-015/ADM/2023-2024,ocds-5whusi-015/ADM/2023-2024-2024-02-26T10:20:39+03:00,2025-11-05T00:00:00+03:00,
20240306130800-75081-KICD/OUP/SECONDARY/06/2023,PRINTING PACKAGING AND DISTRIBUTION OF TEXTBOOKS FOR SECONDARY SCHOOLS,2023-11-06T00:00:00+03:00,20240306130800-75081,326171230,KES,2023-11-06T00:00:00+03:00,ocds-5whusi-015/ADM/2023-2024,ocds-5whusi-015/ADM/2023-2024-2024-02-26T10:20:39+03:00,2025-11-05T00:00:00+03:00,
20240416161145-80267-08032022,Provision of interior designing services for CBK Pension Secretariat  offices at CBK Pension Towers,2022-04-19T00:00:00+03:00,20240416161145-80267,1508000,KES,2022-04-19T00:00:00+03:00,ocds-5whusi-08032022,ocds-5whusi-08032022-2024-04-16T12:36:11+03:00,2024-03-18T00:00:00+03:00,
